url,name,UserCount,PullRequests,description,created_at
https://api.github.com/repos/mozilla/moztrap,moztrap,11,36,"MozTrap test case management system","2011-11-29 17:37:34"
https://api.github.com/repos/facebook/facebook-android-sdk,facebook-android-sdk,46,78,"Facebook SDK for Android","2010-05-10 08:17:33"
https://api.github.com/repos/mangosR2/mangos,mangos,27,37,"MangosR2 is a free, open source MMORPG framework, derived from MaNGOS project.","2011-05-02 11:18:23"
https://api.github.com/repos/bagder/curl,curl,15,82,"Curl is a tool and libcurl is a library for transferring data with URL syntax, supporting FTP, FTPS, HTTP, HTTPS, GOPHER, TFTP, SCP, SFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP, SMTP, POP3, RTSP and RTMP. libcurl offers a myriad of powerful features","2010-03-18 14:32:22"
https://api.github.com/repos/basho/eleveldb,eleveldb,14,60,"Erlang LevelDB API","2011-05-13 18:40:34"
https://api.github.com/repos/documentcloud/documentcloud,documentcloud,12,23,"The DocumentCloud platform","2011-11-30 01:09:35"
https://api.github.com/repos/holderdeord/hdo-site,hdo-site,24,95,"Rails prototype of HDO","2012-04-07 01:21:42"
https://api.github.com/repos/racker/rackspace-monitoring,rackspace-monitoring,136,31,"Python client library for Rackspace Cloud Monitoring.","2011-11-03 21:36:24"
https://api.github.com/repos/django-nonrel/mongodb-engine,mongodb-engine,13,50,"Django MongoDB Backend -- Please send pull requests against the "develop" branch!","2010-10-01 02:02:35"
https://api.github.com/repos/flatiron/plates,plates,18,42,"The light-weight, logic-less, DSL-free, templates for all javascript environments!","2011-10-15 11:07:22"
https://api.github.com/repos/telerik/kendo-docs,kendo-docs,45,33,"Public Documentation for Kendo UI","2012-05-11 12:58:17"
https://api.github.com/repos/OpenMRS/openmrs-module-hl7query,openmrs-module-hl7query,33,66,"An OpenMRS module to export HL7 messages","2012-07-26 08:07:26"
https://api.github.com/repos/sympy/sympy-bot,sympy-bot,17,79,"SymPy pull request helper","2011-04-27 21:31:24"
https://api.github.com/repos/mindsnacks/Zinc-ObjC,Zinc-ObjC,24,76,"Objective-C client for Zinc asset distribution system","2012-01-12 22:45:30"
https://api.github.com/repos/eldarion/pycon,pycon,10,21,"website for PyCon US","2010-06-21 12:56:30"
https://api.github.com/repos/flatiron/flatiron,flatiron,17,57,"Framework components for node.js and the browser","2011-08-26 21:46:40"
https://api.github.com/repos/eucalyptus/eucalyptus,eucalyptus,13,38,Eucalyptus,"2011-05-24 11:36:49"
https://api.github.com/repos/cucumber/cucumber-js,cucumber-js,16,37,"Pure Javascript Cucumber","2011-05-27 12:27:17"
https://api.github.com/repos/simplegeo/python-oauth2,python-oauth2,22,62,"A fully tested, abstract interface to creating OAuth clients and servers.","2009-10-21 08:21:07"
https://api.github.com/repos/opscode-cookbooks/iis,iis,26,41,"Development repository for Opscode Cookbook iis","2012-03-14 10:32:50"
https://api.github.com/repos/pivotal/projectmonitor,projectmonitor,19,24,"Big Visible Chart CI aggregator","2012-04-16 11:33:46"
https://api.github.com/repos/Sage-Bionetworks/Synapse-Stack-Builder,Synapse-Stack-Builder,13,61,"Project for building a complete Synapse Stack","2012-07-17 11:04:20"
https://api.github.com/repos/wordnik/swagger-core,swagger-core,24,71,"swagger-core defines Java annotations and required logic to generate a Swagger server or client.","2011-07-05 14:44:11"
https://api.github.com/repos/janrain/janrain-backplane-2,janrain-backplane-2,70,45,"Created per Mantis ticket #4658 for Tom Raney","2011-12-15 08:24:41"
https://api.github.com/repos/podio/jquery-mentions-input,jquery-mentions-input,11,23,,"2011-08-22 06:35:58"
https://api.github.com/repos/rcbops-cookbooks/kong,kong,17,41,"Chef Cookbooks for Rackspace CloudBuilders Verification Test Suite","2012-05-10 03:21:01"
https://api.github.com/repos/wordnik/swagger-ui,swagger-ui,23,93,"Swagger UI is a dependency-free collection of HTML, Javascript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API.","2011-07-15 13:56:39"
https://api.github.com/repos/opscode-cookbooks/rabbitmq,rabbitmq,26,86,"Development repository for Opscode Cookbook rabbitmq","2012-03-14 10:38:08"
https://api.github.com/repos/netzpirat/haml-coffee,haml-coffee,13,22,"Haml templates where you can write inline CoffeeScript.","2011-05-09 06:19:14"
https://api.github.com/repos/rails/sass-rails,sass-rails,32,39,"Ruby on Rails stylesheet engine for Sass","2011-05-24 10:37:30"
https://api.github.com/repos/seomoz/qless,qless,58,75,"Queue / Pipeline Management","2012-02-29 14:42:36"
https://api.github.com/repos/mozilla/watchdog-manager,watchdog-manager,25,20,,"2012-07-24 11:23:24"
https://api.github.com/repos/Kunstmaan/KunstmaanFormBundle,KunstmaanFormBundle,17,56,"The KunstmaanFormBundle for Symfony 2 is part of the bundles we use to build custom and flexible applications at Kunstmaan. You have to install this bundle in order to display list of form submissions in the administrator area of your website.","2012-02-09 06:51:41"
https://api.github.com/repos/crowdfavorite/wp-social,wp-social,16,27,"A social web integration plugin for WordPress. (Twitter, Facebook, etc.)","2011-08-19 00:01:57"
https://api.github.com/repos/exoplatform/webos,webos,13,22,"eXo WebOS","2011-03-22 01:27:26"
https://api.github.com/repos/edgecase/ECSlidingViewController,ECSlidingViewController,17,42,,"2012-01-25 13:54:29"
https://api.github.com/repos/concord-consortium/lab,lab,12,37,"HTML5-based scientific models, visualizations, graphing, and probeware","2011-11-14 11:20:50"
https://api.github.com/repos/exoplatform/cs,cs,14,100,"eXo CS","2012-04-05 00:18:21"
https://api.github.com/repos/omeka/Omeka,Omeka,10,90,"A flexible web publishing platform for the display of library, museum and scholarly collections, archives and exhibitions.","2011-06-30 17:10:58"
https://api.github.com/repos/CyanogenMod/android_vendor_cm,android_vendor_cm,86,32,,"2011-11-25 12:05:06"
https://api.github.com/repos/datamapper/dm-core,dm-core,10,52,"DataMapper - Core","2009-01-25 21:42:36"
https://api.github.com/repos/nathanmarz/storm-contrib,storm-contrib,13,21,"A collection of spouts, bolts, serializers, DSLs, and other goodies to use with Storm","2011-11-10 10:40:21"
https://api.github.com/repos/cosm/cosm-rb,cosm-rb,14,35,"A library for communicating with the Cosm REST API, parsing and rendering Cosm feed formats","2012-05-21 03:03:25"
https://api.github.com/repos/mozilla/Affiliates-Tests,Affiliates-Tests,28,35,"Tests for Mozilla Affiliates","2011-10-07 14:01:17"
https://api.github.com/repos/zendframework/ZendSkeletonModule,ZendSkeletonModule,10,20,"Sample skeleton module for use with the ZF2 MVC layer","2011-09-29 12:00:56"
https://api.github.com/repos/phdeniel/nfs-ganesha,nfs-ganesha,20,40,"NFS-Ganesha, a NFSv2/NFSv3/NFSv4.x server in User Space","2011-07-28 02:41:02"
https://api.github.com/repos/laas/metapod,metapod,19,51,"A template-based robot dynamics library","2012-02-28 06:50:41"
https://api.github.com/repos/TrinityCore/WowPacketParser,WowPacketParser,21,94,"World of Warcraft Packet Parser","2011-06-28 15:08:26"
https://api.github.com/repos/SpringSource/grails-data-mapping,grails-data-mapping,77,92,"Grails Data Mapping Project","2011-02-22 11:11:44"
https://api.github.com/repos/netzpirat/guard-jasmine,guard-jasmine,39,55,"Automated Jasmine tests to your console.","2011-09-06 14:42:17"
https://api.github.com/repos/Obvious/matador,matador,19,93,"an MVC framework for Node","2011-12-20 14:21:46"
https://api.github.com/repos/flatiron/nconf,nconf,17,40,"Hierarchical node.js configuration with files, environment variables, command-line arguments, and atomic object merging.","2011-03-30 19:55:37"
